number,group,folder,file,path,title,purpose,next
24,Setup,02-setup,recommended-apps.html,screens/02-setup/recommended-apps.html,Choose Ghost Apps,"Install independent Ghost products such as QR Menu, Reviews, and Availability.",screens/02-setup/recommended-connections.html
25,Setup,02-setup,recommended-connections.html,screens/02-setup/recommended-connections.html,Connect existing software,Choose API/OAuth tools separately from Ghost apps.,screens/02-setup/recommended-device-apps.html
26,Setup,02-setup,recommended-device-apps.html,screens/02-setup/recommended-device-apps.html,Choose Device Apps,Add Android/browser targets separately from API connections.,screens/02-setup/recommended-plugins.html
27,Setup,02-setup,recommended-plugins.html,screens/02-setup/recommended-plugins.html,Choose Plugins,Attach smaller reusable extensions to compatible products.,screens/02-setup/recommended-automations.html
28,Setup,02-setup,recommended-automations.html,screens/02-setup/recommended-automations.html,Choose Automations,Install reusable workflows and scripts separately.,screens/02-setup/public-page-template.html
29,Setup,02-setup,public-page-template.html,screens/02-setup/public-page-template.html,Choose your public experience,"Start with full-scroll, quick links, accordion, or hybrid.",screens/02-setup/public-page-compose.html
30,Setup,02-setup,public-page-compose.html,screens/02-setup/public-page-compose.html,Arrange public sections,"Compose Data Modules, Ghost Apps, and capability actions.",screens/02-setup/setup-review.html
31,Setup,02-setup,setup-review.html,screens/02-setup/setup-review.html,Review setup,"See what is installed, connected, published, and optional.",screens/02-setup/publish-first-page.html
32,Setup,02-setup,publish-first-page.html,screens/02-setup/publish-first-page.html,Publish your first page,Launch a public surface without exposing private workspace data.,screens/03-owner-dashboard/dashboard-home.html
33,Owner Dashboard,03-owner-dashboard,dashboard-home.html,screens/03-owner-dashboard/dashboard-home.html,Home,A calm overview of what changed and what needs attention.,
34,Owner Dashboard,03-owner-dashboard,business-switcher.html,screens/03-owner-dashboard/business-switcher.html,Businesses,Switch among businesses without changing accounts.,
35,Owner Dashboard,03-owner-dashboard,business-data.html,screens/03-owner-dashboard/business-data.html,Business Data,Owner-controlled canonical data. This is not an app store.,
36,Owner Dashboard,03-owner-dashboard,data-module-library.html,screens/03-owner-dashboard/data-module-library.html,Data Modules,Enable ordinary business-data capabilities.,
37,Owner Dashboard,03-owner-dashboard,data-module-detail.html,screens/03-owner-dashboard/data-module-detail.html,Data Module — Menu,Edit canonical menu data independently from the renderer.,
38,Owner Dashboard,03-owner-dashboard,data-conflicts.html,screens/03-owner-dashboard/data-conflicts.html,Data Conflicts,Compare owner truth against external observations.,
39,Owner Dashboard,03-owner-dashboard,my-apps.html,screens/03-owner-dashboard/my-apps.html,My Ghost Apps,Independent installed software products.,
40,Owner Dashboard,03-owner-dashboard,connections-home.html,screens/03-owner-dashboard/connections-home.html,Connections,External API/OAuth software.,
41,Owner Dashboard,03-owner-dashboard,device-apps-home.html,screens/03-owner-dashboard/device-apps-home.html,Device Apps,External Android/browser targets.,
42,Owner Dashboard,03-owner-dashboard,plugins-home.html,screens/03-owner-dashboard/plugins-home.html,Plugins,Small extensions bound to products or surfaces.,
43,Owner Dashboard,03-owner-dashboard,automations-home.html,screens/03-owner-dashboard/automations-home.html,Automations,Installed workflows and scripts.,
44,Owner Dashboard,03-owner-dashboard,public-page-home.html,screens/03-owner-dashboard/public-page-home.html,Public Page,Edit what customers see without changing the underlying data.,
45,Owner Dashboard,03-owner-dashboard,customers.html,screens/03-owner-dashboard/customers.html,Customers,Customer records and consent.,
46,Owner Dashboard,03-owner-dashboard,activity.html,screens/03-owner-dashboard/activity.html,Activity,"Installs, changes, runs, and verification receipts.",
47,Owner Dashboard,03-owner-dashboard,notifications.html,screens/03-owner-dashboard/notifications.html,Notifications,"Approvals, failures, and updates that need attention.",
48,Ghost Apps,04-ghost-apps,app-store.html,screens/04-ghost-apps/app-store.html,Ghost App Store,Install independent products built on the shared Ghost foundation.,
49,Ghost Apps,04-ghost-apps,app-store-category.html,screens/04-ghost-apps/app-store-category.html,Browse Apps by Category,"Marketing, booking, commerce, operations, and vertical apps.",
50,Ghost Apps,04-ghost-apps,app-song-request.html,screens/04-ghost-apps/app-song-request.html,Song Request,Standalone Ghost app with customer and business surfaces.,
51,Ghost Apps,04-ghost-apps,app-song-request-permissions.html,screens/04-ghost-apps/app-song-request-permissions.html,Song Request Permissions,"Review exactly what the app can read, write, call, and expose.",
52,Ghost Apps,04-ghost-apps,app-song-request-installing.html,screens/04-ghost-apps/app-song-request-installing.html,Installing Song Request,"Create install, app-private schema, grants, and surfaces.",
53,Ghost Apps,04-ghost-apps,app-song-request-config.html,screens/04-ghost-apps/app-song-request-config.html,Configure Song Request,"Set request rules, pricing, and public display.",
54,Ghost Apps,04-ghost-apps,app-song-request-business.html,screens/04-ghost-apps/app-song-request-business.html,Song Request — Business View,Manage the live request queue.,
55,Ghost Apps,04-ghost-apps,app-song-request-public.html,screens/04-ghost-apps/app-song-request-public.html,Song Request — Customer View,Public QR / page / widget experience.,
56,Ghost Apps,04-ghost-apps,app-qr-menu.html,screens/04-ghost-apps/app-qr-menu.html,QR Menu,Uses canonical menu data without owning it.,
57,Ghost Apps,04-ghost-apps,app-qr-menu-permissions.html,screens/04-ghost-apps/app-qr-menu-permissions.html,QR Menu Permissions,Approve only the menu scopes it needs.,
58,Ghost Apps,04-ghost-apps,app-qr-menu-public.html,screens/04-ghost-apps/app-qr-menu-public.html,QR Menu — Public,Fast mobile menu powered by canonical data.,
59,Ghost Apps,04-ghost-apps,app-authentic-reviews.html,screens/04-ghost-apps/app-authentic-reviews.html,Authentic Reviews,Review request and verified source product.,
60,Ghost Apps,04-ghost-apps,app-authentic-reviews-public.html,screens/04-ghost-apps/app-authentic-reviews-public.html,Authentic Reviews — Public,Customer-facing verified review experience.,
61,Ghost Apps,04-ghost-apps,app-availability.html,screens/04-ghost-apps/app-availability.html,Availability,Provider-neutral availability search.,
62,Ghost Apps,04-ghost-apps,app-availability-public.html,screens/04-ghost-apps/app-availability-public.html,Availability — Public,"Customer search by date, quantity, and price.",
63,Ghost Apps,04-ghost-apps,app-installations.html,screens/04-ghost-apps/app-installations.html,App Installations,"Versions, status, permissions, surfaces, and update policy.",
64,Connections,05-connections,connections-store.html,screens/05-connections/connections-store.html,Connections Store,External SaaS/API/OAuth tools are connections — not Ghost apps.,
65,Connections,05-connections,connections-categories.html,screens/05-connections/connections-categories.html,Connection Categories,"Email, CRM, commerce, calendars, social, payments, booking, and operations.",
66,Connections,05-connections,connection-gmail.html,screens/05-connections/connection-gmail.html,Gmail Connection,Connect Gmail through an approved provider.,
67,Connections,05-connections,connection-gmail-permissions.html,screens/05-connections/connection-gmail-permissions.html,Gmail Access,"Choose labels, senders, and scopes before OAuth.",
68,Connections,05-connections,connection-gmail-oauth.html,screens/05-connections/connection-gmail-oauth.html,Connect Gmail,Complete the OAuth/provider handshake.,
69,Connections,05-connections,connection-gmail-connected.html,screens/05-connections/connection-gmail-connected.html,Gmail Connected,"See health, account identity, scopes, and capabilities.",
70,Connections,05-connections,connection-composio.html,screens/05-connections/connection-composio.html,Composio Connection Catalog,Admin-curated tools from platform_connections.,
71,Connections,05-connections,connection-native.html,screens/05-connections/connection-native.html,Native Connection,Native providers still belong in Connections.,
72,Connections,05-connections,connection-health.html,screens/05-connections/connection-health.html,Connection Health,"Token, scope, sync, and provider warnings.",
73,Connections,05-connections,connection-capabilities.html,screens/05-connections/connection-capabilities.html,Connection Capabilities,See which stable Ghost capabilities each connection can fulfill.,
74,Connections,05-connections,connection-remove.html,screens/05-connections/connection-remove.html,Disconnect Tool,Revoke the connection without uninstalling unrelated Ghost apps.,
75,Device Apps,06-device-apps,device-app-store.html,screens/06-device-apps/device-app-store.html,Device App Store,External Android/browser apps available for controlled execution.,
76,Device Apps,06-device-apps,device-app-categories.html,screens/06-device-apps/device-app-categories.html,Device App Categories,"Social, CRM, booking, operations, and vertical mobile apps.",
77,Device Apps,06-device-apps,device-app-facebook.html,screens/06-device-apps/device-app-facebook.html,Facebook Android,Attach the Android app to a device runtime.,
78,Device Apps,06-device-apps,device-app-facebook-device.html,screens/06-device-apps/device-app-facebook-device.html,Choose a Device,"Select Cloud Android, physical phone, or local node.",
79,Device Apps,06-device-apps,device-app-facebook-install.html,screens/06-device-apps/device-app-facebook-install.html,Install Facebook,Install/open the target app inside the selected runtime.,
80,Device Apps,06-device-apps,device-app-facebook-login.html,screens/06-device-apps/device-app-facebook-login.html,Sign in to Facebook,Owner signs in inside the Android workspace.,
81,Device Apps,06-device-apps,device-app-facebook-appmap.html,screens/06-device-apps/device-app-facebook-appmap.html,Facebook AppMap,Attach versioned UI knowledge for deterministic actions.,
82,Device Apps,06-device-apps,device-app-facebook-ready.html,screens/06-device-apps/device-app-facebook-ready.html,Facebook Ready,Advertise the capabilities the device app can fulfill.,
83,Device Apps,06-device-apps,devices.html,screens/06-device-apps/devices.html,Devices,"Cloud Android, physical Android, browser workspaces, and Ghost Nodes.",
84,Device Apps,06-device-apps,device-cloud-android.html,screens/06-device-apps/device-cloud-android.html,Cloud Android,Persistent remote Android workspace.,
85,Device Apps,06-device-apps,device-live-viewer.html,screens/06-device-apps/device-live-viewer.html,Live Device Viewer,"Watch, pause, take control, and return to Ghost.",
86,Device Apps,06-device-apps,device-browser.html,screens/06-device-apps/device-browser.html,Browser Workspace,Persistent browser execution environment.,
87,Device Apps,06-device-apps,device-home-node.html,screens/06-device-apps/device-home-node.html,Ghost Node,Local execution resource connected to the control plane.,
88,Device Apps,06-device-apps,appmaps.html,screens/06-device-apps/appmaps.html,AppMaps,Reusable versioned UI knowledge.,
89,Device Apps,06-device-apps,appmap-detail.html,screens/06-device-apps/appmap-detail.html,AppMap Detail,"Screen signatures, controls, actions, and success states.",
90,Device Apps,06-device-apps,repair-pipeline.html,screens/06-device-apps/repair-pipeline.html,Repair Pipeline,"Capture, repair, test, canary, and reuse a changed interface.",
91,Plugins,07-plugins,plugin-store.html,screens/07-plugins/plugin-store.html,Plugin Store,Small reusable extensions bound to compatible products.,
92,Plugins,07-plugins,plugin-qr-generator.html,screens/07-plugins/plugin-qr-generator.html,QR Generator Plugin,"Reusable plugin for QR Menu, Song Request, Loyalty, or public pages.",
93,Plugins,07-plugins,plugin-qr-generator-bind.html,screens/07-plugins/plugin-qr-generator-bind.html,Choose Plugin Bindings,Pick where the plugin appears.,
94,Plugins,07-plugins,plugin-qr-generator-permissions.html,screens/07-plugins/plugin-qr-generator-permissions.html,Plugin Permissions,Review plugin scopes separately from the host app.,
95,Plugins,07-plugins,plugin-qr-generator-ready.html,screens/07-plugins/plugin-qr-generator-ready.html,QR Generator Ready,Enabled at selected extension points.,
96,Plugins,07-plugins,plugin-ai-summary.html,screens/07-plugins/plugin-ai-summary.html,AI Summary Plugin,Adds summaries without owning underlying data.,
97,Plugins,07-plugins,plugin-pdf-export.html,screens/07-plugins/plugin-pdf-export.html,PDF Export Plugin,Adds export at declared extension points.,
98,Plugins,07-plugins,plugin-bindings.html,screens/07-plugins/plugin-bindings.html,Plugin Bindings,See every active app/surface binding.,
99,Automations,08-automations,automation-store.html,screens/08-automations/automation-store.html,Automation & Script Store,Install workflows independently from apps and connections.,
100,Automations,08-automations,automation-cancel-waitlist.html,screens/08-automations/automation-cancel-waitlist.html,Cancellation → Waitlist,Cancellation event → matching opted-in customers.,
101,Automations,08-automations,automation-cancel-permissions.html,screens/08-automations/automation-cancel-permissions.html,Automation Permissions,Approve required data and action scopes.,
102,Automations,08-automations,automation-cancel-config.html,screens/08-automations/automation-cancel-config.html,Configure Automation,"Set rules, thresholds, and approval policy.",
103,Automations,08-automations,automation-cancel-ready.html,screens/08-automations/automation-cancel-ready.html,Automation Ready,Installed and waiting for events.,
104,Automations,08-automations,automation-builder.html,screens/08-automations/automation-builder.html,Automation Builder,Build WHEN / IF / THEN / VERIFY workflows.,
105,Automations,08-automations,automation-builder-trigger.html,screens/08-automations/automation-builder-trigger.html,Choose Trigger,"Events, schedules, messages, provider changes, or manual starts.",
106,Automations,08-automations,automation-builder-condition.html,screens/08-automations/automation-builder-condition.html,Add Conditions,Use business data and state to gate the workflow.,
107,Automations,08-automations,automation-builder-action.html,screens/08-automations/automation-builder-action.html,Choose Action,Call a stable capability rather than provider-specific clicks.,
108,Automations,08-automations,automation-builder-approval.html,screens/08-automations/automation-builder-approval.html,Approval Policy,"Choose AUTO, ASK, or NEVER.",
109,Automations,08-automations,automation-builder-verify.html,screens/08-automations/automation-builder-verify.html,Verification,Define the read-back required for success.,
110,Automations,08-automations,automation-builder-review.html,screens/08-automations/automation-builder-review.html,Review & Install,Review the complete workflow contract.,
111,Automations,08-automations,automation-runs.html,screens/08-automations/automation-runs.html,Automation Runs,"Durable run history, retries, approvals, and verification.",
112,Automations,08-automations,automation-run-detail.html,screens/08-automations/automation-run-detail.html,Automation Run Detail,Step-by-step execution timeline.,
113,Automations,08-automations,script-package.html,screens/08-automations/script-package.html,Script Package,Versioned script package behind approved capabilities.,
114,Public Surfaces,09-public-surfaces,surface-builder.html,screens/09-public-surfaces/surface-builder.html,Public Surface Builder,Compose what customers see without merging underlying systems.,
115,Public Surfaces,09-public-surfaces,surface-layout.html,screens/09-public-surfaces/surface-layout.html,Choose Layout,"Link-style, scroll, accordion, modal, hybrid, widget, or standalone.",
116,Public Surfaces,09-public-surfaces,surface-items.html,screens/09-public-surfaces/surface-items.html,Add Surface Items,"Data Module, Ghost App, Capability, Provider Handoff, or Composite.",
117,Public Surfaces,09-public-surfaces,surface-item-menu.html,screens/09-public-surfaces/surface-item-menu.html,Configure Menu Item,Bind canonical menu data or mount QR Menu.,
118,Public Surfaces,09-public-surfaces,surface-item-song-request.html,screens/09-public-surfaces/surface-item-song-request.html,Configure Song Request,"Mount the installed app as modal, page, widget, or full-screen.",
119,Public Surfaces,09-public-surfaces,surface-item-book.html,screens/09-public-surfaces/surface-item-book.html,Configure Booking Action,Bind a stable capability.,
120,Public Surfaces,09-public-surfaces,surface-theme.html,screens/09-public-surfaces/surface-theme.html,Branding & Theme,"Typography, spacing, shape, imagery, and brand.",
121,Public Surfaces,09-public-surfaces,surface-preview-mobile.html,screens/09-public-surfaces/surface-preview-mobile.html,Mobile Preview,See exactly what a customer sees.,
122,Public Surfaces,09-public-surfaces,surface-preview-desktop.html,screens/09-public-surfaces/surface-preview-desktop.html,Desktop Preview,Same composition adapted to desktop.,
123,Public Surfaces,09-public-surfaces,surface-publish.html,screens/09-public-surfaces/surface-publish.html,Publish Surface,Version and publish the public experience.,
124,Public Surfaces,09-public-surfaces,surface-analytics.html,screens/09-public-surfaces/surface-analytics.html,Surface Analytics,Visits and actions without becoming business truth.,
125,Settings,10-settings,team.html,screens/10-settings/team.html,Team,Workspace members can have different roles across businesses.,
126,Settings,10-settings,invite-member.html,screens/10-settings/invite-member.html,Invite Team Member,Grant access without sharing credentials.,
127,Settings,10-settings,member-detail.html,screens/10-settings/member-detail.html,Member Access,"Roles, businesses, app grants, and sensitive permissions.",
128,Settings,10-settings,permissions.html,screens/10-settings/permissions.html,Permissions,"One vocabulary shared by apps, plugins, automations, and capabilities.",
129,Settings,10-settings,permission-detail.html,screens/10-settings/permission-detail.html,Permission Detail,Where a scope is used and whether it is sensitive.,
130,Settings,10-settings,approval-inbox.html,screens/10-settings/approval-inbox.html,Approval Inbox,Sensitive ASK actions wait here.,
131,Settings,10-settings,approval-detail.html,screens/10-settings/approval-detail.html,Approve Action,"Review actor, capability, target, inputs, and risk.",
132,Settings,10-settings,security.html,screens/10-settings/security.html,Security,"Passkeys, sessions, trusted devices, tokens, and support access.",
133,Settings,10-settings,sessions.html,screens/10-settings/sessions.html,Sessions,"Account, browser, device, and remote execution sessions.",
134,Settings,10-settings,settings.html,screens/10-settings/settings.html,Workspace Settings,"Identity, notifications, billing, data, and developer controls.",
135,Settings,10-settings,billing.html,screens/10-settings/billing.html,Billing,"Workspace plan, app/plugin subscriptions, usage, and invoices.",
136,Settings,10-settings,data-export.html,screens/10-settings/data-export.html,Data Export,Export business-owned data independently from apps.,
137,Settings,10-settings,audit-log.html,screens/10-settings/audit-log.html,Audit Log,"Who changed what, through which layer, and what was verified.",
138,Customer,11-customer-facing,public-business-home.html,screens/11-customer-facing/public-business-home.html,Harbor House,"Polished public business home composed from data, apps, and capabilities.",
139,Customer,11-customer-facing,public-link-page.html,screens/11-customer-facing/public-link-page.html,Harbor House — Quick Links,Compact action-first public layout.,
140,Customer,11-customer-facing,public-scroll-page.html,screens/11-customer-facing/public-scroll-page.html,Harbor House — Full Website,Full-scroll public site with the same data.,
141,Customer,11-customer-facing,public-menu.html,screens/11-customer-facing/public-menu.html,Menu,Canonical menu rendered as a customer experience.,
142,Customer,11-customer-facing,public-availability.html,screens/11-customer-facing/public-availability.html,Availability,Live provider-neutral availability search.,
143,Customer,11-customer-facing,public-events.html,screens/11-customer-facing/public-events.html,Events,Upcoming events and live music.,
144,Customer,11-customer-facing,public-reviews.html,screens/11-customer-facing/public-reviews.html,Reviews,Authentic Reviews app mounted publicly.,
145,Customer,11-customer-facing,public-song-request.html,screens/11-customer-facing/public-song-request.html,Request a Song,Standalone Song Request customer surface.,
146,Customer,11-customer-facing,public-loyalty.html,screens/11-customer-facing/public-loyalty.html,Loyalty,Rewards as a separate installed app.,
147,Customer,11-customer-facing,public-contact.html,screens/11-customer-facing/public-contact.html,Contact,"Call, message, directions, and questions.",
148,Admin,12-admin-console,admin-home.html,screens/12-admin-console/admin-home.html,Operator Home,Platform-wide health and independent registries.,
149,Admin,12-admin-console,admin-businesses.html,screens/12-admin-console/admin-businesses.html,Businesses,"All businesses, claims, workspace assignment, and operator actions.",
150,Admin,12-admin-console,admin-business-detail.html,screens/12-admin-console/admin-business-detail.html,Business Detail,Inspect one business without becoming its owner.,
151,Admin,12-admin-console,admin-data-modules.html,screens/12-admin-console/admin-data-modules.html,Data Module Registry,Manage ordinary business data separately from software.,
152,Admin,12-admin-console,admin-schema-registry.html,screens/12-admin-console/admin-schema-registry.html,Table / Schema Registry,"Classify DATA_MODULE, APP_PRIVATE, INTERNAL, SUBMISSION, and SYSTEM tables.",
153,Admin,12-admin-console,admin-apps.html,screens/12-admin-console/admin-apps.html,Ghost App Registry,One canonical app catalog.,
154,Admin,12-admin-console,admin-app-release.html,screens/12-admin-console/admin-app-release.html,App Release,"Versions, manifest, permissions, surfaces, hash, and rollout.",
155,Admin,12-admin-console,admin-plugins.html,screens/12-admin-console/admin-plugins.html,Plugin Registry,Independent plugin catalog and compatibility.,
156,Admin,12-admin-console,admin-connections.html,screens/12-admin-console/admin-connections.html,Connection Catalog,Curate Composio/native external tools.,
157,Admin,12-admin-console,admin-connection-detail.html,screens/12-admin-console/admin-connection-detail.html,Connection Provider Detail,"Auth config, capabilities, health, and usage.",
158,Admin,12-admin-console,admin-device-apps.html,screens/12-admin-console/admin-device-apps.html,Device App Registry,"Android/browser targets, AppMaps, and capability coverage.",
159,Admin,12-admin-console,admin-automations.html,screens/12-admin-console/admin-automations.html,Automation Registry,"Workflow/script packages, versions, and failed runs.",
160,Admin,12-admin-console,admin-permissions.html,screens/12-admin-console/admin-permissions.html,Permission Catalog,Typed permissions and sensitivity.,
161,Admin,12-admin-console,admin-surfaces.html,screens/12-admin-console/admin-surfaces.html,Surface Templates,Reusable public layout templates.,
162,Admin,12-admin-console,admin-devices.html,screens/12-admin-console/admin-devices.html,Fleet,"Cloud Android, browser, nodes, and health.",
163,Admin,12-admin-console,admin-operations.html,screens/12-admin-console/admin-operations.html,Operations,"Execution failures, verification mismatches, and provider health.",
164,Developer,13-developer,developer-home.html,screens/13-developer/developer-home.html,Developer Center,"Build against Ghost contracts, not raw internals.",
165,Developer,13-developer,developer-app.html,screens/13-developer/developer-app.html,Create App Package,"Declare manifest, surfaces, permissions, schemas, and capabilities.",
166,Developer,13-developer,developer-sdk.html,screens/13-developer/developer-sdk.html,Ghost SDK,"Read approved data, call capabilities, subscribe to events, and mount UI.",
167,Developer,13-developer,developer-permissions.html,screens/13-developer/developer-permissions.html,Permission Requests,Test install-time permission declarations.,
168,Developer,13-developer,developer-schema.html,screens/13-developer/developer-schema.html,App Schema,Declare app-private schema without generic discovery.,
169,Developer,13-developer,developer-surface.html,screens/13-developer/developer-surface.html,App Surfaces,Register public and business surfaces.,
170,Developer,13-developer,developer-test.html,screens/13-developer/developer-test.html,Test & Sandbox,Run package tests in a restricted environment.,
171,Developer,13-developer,developer-package.html,screens/13-developer/developer-package.html,Package & Sign,"Create immutable version, SBOM, hash, and signature.",
172,Developer,13-developer,developer-publish.html,screens/13-developer/developer-publish.html,Publish,Submit package to the correct registry.,
173,Developer,13-developer,api-explorer.html,screens/13-developer/api-explorer.html,API Explorer,"Inspect workspace, capabilities, executions, and verification APIs.",
174,System,00-system,install-flow.html,screens/00-system/install-flow.html,Install Flows,"How Data Modules, Ghost Apps, Connections, Device Apps, Plugins, and Automations are added without overlapping.",
175,System,00-system,capability-flow.html,screens/00-system/capability-flow.html,Capability Routing,How independent products work together without knowing provider-specific implementation details.,
176,System,00-system,screen-directory.html,screens/00-system/screen-directory.html,Every Screen,Complete clickable directory of every UI/UX page in the demo.,
