number,group,file,title,purpose,next
31,Setup,setup-review.html,Review setup,"See what is installed, connected, published, and optional.",publish-first-page.html
32,Setup,publish-first-page.html,Publish your first page,Launch a public surface without exposing private workspace data.,dashboard-home.html
33,Owner Dashboard,dashboard-home.html,Home,A calm overview of what changed and what needs attention.,
34,Owner Dashboard,business-switcher.html,Businesses,Switch among businesses without changing accounts.,
35,Owner Dashboard,business-data.html,Business Data,Owner-controlled canonical data. This is not an app store.,
36,Owner Dashboard,data-module-library.html,Data Modules,Enable ordinary business-data capabilities.,
37,Owner Dashboard,data-module-detail.html,Data Module — Menu,Edit canonical menu data independently from the renderer.,
38,Owner Dashboard,data-conflicts.html,Data Conflicts,Compare owner truth against external observations.,
39,Owner Dashboard,my-apps.html,My Ghost Apps,Independent installed software products.,
40,Owner Dashboard,connections-home.html,Connections,External API/OAuth software.,
41,Owner Dashboard,device-apps-home.html,Device Apps,External Android/browser targets.,
42,Owner Dashboard,plugins-home.html,Plugins,Small extensions bound to products or surfaces.,
43,Owner Dashboard,automations-home.html,Automations,Installed workflows and scripts.,
44,Owner Dashboard,public-page-home.html,Public Page,Edit what customers see without changing the underlying data.,
45,Owner Dashboard,customers.html,Customers,Customer records and consent.,
46,Owner Dashboard,activity.html,Activity,"Installs, changes, runs, and verification receipts.",
47,Owner Dashboard,notifications.html,Notifications,"Approvals, failures, and updates that need attention.",
48,Ghost Apps,app-store.html,Ghost App Store,Install independent products built on the shared Ghost foundation.,
49,Ghost Apps,app-store-category.html,Browse Apps by Category,"Marketing, booking, commerce, operations, and vertical apps.",
50,Ghost Apps,app-song-request.html,Song Request,Standalone Ghost app with customer and business surfaces.,
51,Ghost Apps,app-song-request-permissions.html,Song Request Permissions,"Review exactly what the app can read, write, call, and expose.",
52,Ghost Apps,app-song-request-installing.html,Installing Song Request,"Create install, app-private schema, grants, and surfaces.",
53,Ghost Apps,app-song-request-config.html,Configure Song Request,"Set request rules, pricing, and public display.",
54,Ghost Apps,app-song-request-business.html,Song Request — Business View,Manage the live request queue.,
55,Ghost Apps,app-song-request-public.html,Song Request — Customer View,Public QR / page / widget experience.,
56,Ghost Apps,app-qr-menu.html,QR Menu,Uses canonical menu data without owning it.,
57,Ghost Apps,app-qr-menu-permissions.html,QR Menu Permissions,Approve only the menu scopes it needs.,
58,Ghost Apps,app-qr-menu-public.html,QR Menu — Public,Fast mobile menu powered by canonical data.,
59,Ghost Apps,app-authentic-reviews.html,Authentic Reviews,Review request and verified source product.,
60,Ghost Apps,app-authentic-reviews-public.html,Authentic Reviews — Public,Customer-facing verified review experience.,
61,Ghost Apps,app-availability.html,Availability,Provider-neutral availability search.,
62,Ghost Apps,app-availability-public.html,Availability — Public,"Customer search by date, quantity, and price.",
63,Ghost Apps,app-installations.html,App Installations,"Versions, status, permissions, surfaces, and update policy.",
64,Connections,connections-store.html,Connections Store,External SaaS/API/OAuth tools are connections — not Ghost apps.,
65,Connections,connections-categories.html,Connection Categories,"Email, CRM, commerce, calendars, social, payments, booking, and operations.",
66,Connections,connection-gmail.html,Gmail Connection,Connect Gmail through an approved provider.,
67,Connections,connection-gmail-permissions.html,Gmail Access,"Choose labels, senders, and scopes before OAuth.",
68,Connections,connection-gmail-oauth.html,Connect Gmail,Complete the OAuth/provider handshake.,
69,Connections,connection-gmail-connected.html,Gmail Connected,"See health, account identity, scopes, and capabilities.",
70,Connections,connection-composio.html,Composio Connection Catalog,Admin-curated tools from platform_connections.,
71,Connections,connection-native.html,Native Connection,Native providers still belong in Connections.,
72,Connections,connection-health.html,Connection Health,"Token, scope, sync, and provider warnings.",
73,Connections,connection-capabilities.html,Connection Capabilities,See which stable Ghost capabilities each connection can fulfill.,
74,Connections,connection-remove.html,Disconnect Tool,Revoke the connection without uninstalling unrelated Ghost apps.,
75,Device Apps,device-app-store.html,Device App Store,External Android/browser apps available for controlled execution.,
76,Device Apps,device-app-categories.html,Device App Categories,"Social, CRM, booking, operations, and vertical mobile apps.",
77,Device Apps,device-app-facebook.html,Facebook Android,Attach the Android app to a device runtime.,
78,Device Apps,device-app-facebook-device.html,Choose a Device,"Select Cloud Android, physical phone, or local node.",
79,Device Apps,device-app-facebook-install.html,Install Facebook,Install/open the target app inside the selected runtime.,
80,Device Apps,device-app-facebook-login.html,Sign in to Facebook,Owner signs in inside the Android workspace.,
81,Device Apps,device-app-facebook-appmap.html,Facebook AppMap,Attach versioned UI knowledge for deterministic actions.,
82,Device Apps,device-app-facebook-ready.html,Facebook Ready,Advertise the capabilities the device app can fulfill.,
83,Device Apps,devices.html,Devices,"Cloud Android, physical Android, browser workspaces, and Ghost Nodes.",
84,Device Apps,device-cloud-android.html,Cloud Android,Persistent remote Android workspace.,
85,Device Apps,device-live-viewer.html,Live Device Viewer,"Watch, pause, take control, and return to Ghost.",
86,Device Apps,device-browser.html,Browser Workspace,Persistent browser execution environment.,
87,Device Apps,device-home-node.html,Ghost Node,Local execution resource connected to the control plane.,
88,Device Apps,appmaps.html,AppMaps,Reusable versioned UI knowledge.,
89,Device Apps,appmap-detail.html,AppMap Detail,"Screen signatures, controls, actions, and success states.",
90,Device Apps,repair-pipeline.html,Repair Pipeline,"Capture, repair, test, canary, and reuse a changed interface.",
91,Plugins,plugin-store.html,Plugin Store,Small reusable extensions bound to compatible products.,
92,Plugins,plugin-qr-generator.html,QR Generator Plugin,"Reusable plugin for QR Menu, Song Request, Loyalty, or public pages.",
93,Plugins,plugin-qr-generator-bind.html,Choose Plugin Bindings,Pick where the plugin appears.,
94,Plugins,plugin-qr-generator-permissions.html,Plugin Permissions,Review plugin scopes separately from the host app.,
95,Plugins,plugin-qr-generator-ready.html,QR Generator Ready,Enabled at selected extension points.,
96,Plugins,plugin-ai-summary.html,AI Summary Plugin,Adds summaries without owning underlying data.,
97,Plugins,plugin-pdf-export.html,PDF Export Plugin,Adds export at declared extension points.,
98,Plugins,plugin-bindings.html,Plugin Bindings,See every active app/surface binding.,
99,Automations,automation-store.html,Automation & Script Store,Install workflows independently from apps and connections.,
100,Automations,automation-cancel-waitlist.html,Cancellation → Waitlist,Cancellation event → matching opted-in customers.,
101,Automations,automation-cancel-permissions.html,Automation Permissions,Approve required data and action scopes.,
102,Automations,automation-cancel-config.html,Configure Automation,"Set rules, thresholds, and approval policy.",
103,Automations,automation-cancel-ready.html,Automation Ready,Installed and waiting for events.,
104,Automations,automation-builder.html,Automation Builder,Build WHEN / IF / THEN / VERIFY workflows.,
105,Automations,automation-builder-trigger.html,Choose Trigger,"Events, schedules, messages, provider changes, or manual starts.",
106,Automations,automation-builder-condition.html,Add Conditions,Use business data and state to gate the workflow.,
107,Automations,automation-builder-action.html,Choose Action,Call a stable capability rather than provider-specific clicks.,
108,Automations,automation-builder-approval.html,Approval Policy,"Choose AUTO, ASK, or NEVER.",
109,Automations,automation-builder-verify.html,Verification,Define the read-back required for success.,
110,Automations,automation-builder-review.html,Review & Install,Review the complete workflow contract.,
111,Automations,automation-runs.html,Automation Runs,"Durable run history, retries, approvals, and verification.",
112,Automations,automation-run-detail.html,Automation Run Detail,Step-by-step execution timeline.,
113,Automations,script-package.html,Script Package,Versioned script package behind approved capabilities.,
114,Public Surfaces,surface-builder.html,Public Surface Builder,Compose what customers see without merging underlying systems.,
115,Public Surfaces,surface-layout.html,Choose Layout,"Link-style, scroll, accordion, modal, hybrid, widget, or standalone.",
116,Public Surfaces,surface-items.html,Add Surface Items,"Data Module, Ghost App, Capability, Provider Handoff, or Composite.",
117,Public Surfaces,surface-item-menu.html,Configure Menu Item,Bind canonical menu data or mount QR Menu.,
118,Public Surfaces,surface-item-song-request.html,Configure Song Request,"Mount the installed app as modal, page, widget, or full-screen.",
119,Public Surfaces,surface-item-book.html,Configure Booking Action,Bind a stable capability.,
120,Public Surfaces,surface-theme.html,Branding & Theme,"Typography, spacing, shape, imagery, and brand.",
121,Public Surfaces,surface-preview-mobile.html,Mobile Preview,See exactly what a customer sees.,
122,Public Surfaces,surface-preview-desktop.html,Desktop Preview,Same composition adapted to desktop.,
123,Public Surfaces,surface-publish.html,Publish Surface,Version and publish the public experience.,
124,Public Surfaces,surface-analytics.html,Surface Analytics,Visits and actions without becoming business truth.,
125,Settings,team.html,Team,Workspace members can have different roles across businesses.,
126,Settings,invite-member.html,Invite Team Member,Grant access without sharing credentials.,
127,Settings,member-detail.html,Member Access,"Roles, businesses, app grants, and sensitive permissions.",
128,Settings,permissions.html,Permissions,"One vocabulary shared by apps, plugins, automations, and capabilities.",
129,Settings,permission-detail.html,Permission Detail,Where a scope is used and whether it is sensitive.,
130,Settings,approval-inbox.html,Approval Inbox,Sensitive ASK actions wait here.,
131,Settings,approval-detail.html,Approve Action,"Review actor, capability, target, inputs, and risk.",
132,Settings,security.html,Security,"Passkeys, sessions, trusted devices, tokens, and support access.",
133,Settings,sessions.html,Sessions,"Account, browser, device, and remote execution sessions.",
134,Settings,settings.html,Workspace Settings,"Identity, notifications, billing, data, and developer controls.",
135,Settings,billing.html,Billing,"Workspace plan, app/plugin subscriptions, usage, and invoices.",
136,Settings,data-export.html,Data Export,Export business-owned data independently from apps.,
137,Settings,audit-log.html,Audit Log,"Who changed what, through which layer, and what was verified.",
138,Customer,public-business-home.html,Harbor House,"Polished public business home composed from data, apps, and capabilities.",
139,Customer,public-link-page.html,Harbor House — Quick Links,Compact action-first public layout.,
140,Customer,public-scroll-page.html,Harbor House — Full Website,Full-scroll public site with the same data.,
141,Customer,public-menu.html,Menu,Canonical menu rendered as a customer experience.,
142,Customer,public-availability.html,Availability,Live provider-neutral availability search.,
143,Customer,public-events.html,Events,Upcoming events and live music.,
144,Customer,public-reviews.html,Reviews,Authentic Reviews app mounted publicly.,
145,Customer,public-song-request.html,Request a Song,Standalone Song Request customer surface.,
146,Customer,public-loyalty.html,Loyalty,Rewards as a separate installed app.,
147,Customer,public-contact.html,Contact,"Call, message, directions, and questions.",
148,Admin,admin-home.html,Operator Home,Platform-wide health and independent registries.,
149,Admin,admin-businesses.html,Businesses,"All businesses, claims, workspace assignment, and operator actions.",
150,Admin,admin-business-detail.html,Business Detail,Inspect one business without becoming its owner.,
151,Admin,admin-data-modules.html,Data Module Registry,Manage ordinary business data separately from software.,
152,Admin,admin-schema-registry.html,Table / Schema Registry,"Classify DATA_MODULE, APP_PRIVATE, INTERNAL, SUBMISSION, and SYSTEM tables.",
153,Admin,admin-apps.html,Ghost App Registry,One canonical app catalog.,
154,Admin,admin-app-release.html,App Release,"Versions, manifest, permissions, surfaces, hash, and rollout.",
155,Admin,admin-plugins.html,Plugin Registry,Independent plugin catalog and compatibility.,
156,Admin,admin-connections.html,Connection Catalog,Curate Composio/native external tools.,
157,Admin,admin-connection-detail.html,Connection Provider Detail,"Auth config, capabilities, health, and usage.",
158,Admin,admin-device-apps.html,Device App Registry,"Android/browser targets, AppMaps, and capability coverage.",
159,Admin,admin-automations.html,Automation Registry,"Workflow/script packages, versions, and failed runs.",
160,Admin,admin-permissions.html,Permission Catalog,Typed permissions and sensitivity.,
161,Admin,admin-surfaces.html,Surface Templates,Reusable public layout templates.,
162,Admin,admin-devices.html,Fleet,"Cloud Android, browser, nodes, and health.",
163,Admin,admin-operations.html,Operations,"Execution failures, verification mismatches, and provider health.",
164,Developer,developer-home.html,Developer Center,"Build against Ghost contracts, not raw internals.",
165,Developer,developer-app.html,Create App Package,"Declare manifest, surfaces, permissions, schemas, and capabilities.",
166,Developer,developer-sdk.html,Ghost SDK,"Read approved data, call capabilities, subscribe to events, and mount UI.",
167,Developer,developer-permissions.html,Permission Requests,Test install-time permission declarations.,
168,Developer,developer-schema.html,App Schema,Declare app-private schema without generic discovery.,
169,Developer,developer-surface.html,App Surfaces,Register public and business surfaces.,
170,Developer,developer-test.html,Test & Sandbox,Run package tests in a restricted environment.,
171,Developer,developer-package.html,Package & Sign,"Create immutable version, SBOM, hash, and signature.",
172,Developer,developer-publish.html,Publish,Submit package to the correct registry.,
173,Developer,api-explorer.html,API Explorer,"Inspect workspace, capabilities, executions, and verification APIs.",
174,System,install-flow.html,Install Flows,"How Data Modules, Ghost Apps, Connections, Device Apps, Plugins, and Automations are added without overlapping.",
175,System,capability-flow.html,Capability Routing,How independent products work together without knowing provider-specific implementation details.,
176,System,screen-directory.html,Every Screen,Complete clickable directory of every UI/UX page in the demo.,
